iso,actor1,actor2,event_date,event_type,interaction,fatalities,latitude,longitude,admin1,iso3
364,"Protesters (Iran)",,2018-10-06,Riots/Protests,60,0,35.6810,51.4291,Tehran,IRN
364,"Protesters (Iran)",,2018-10-06,Riots/Protests,60,0,35.8327,50.9916,Alborz,IRN
364,"Protesters (Iran)",,2018-10-06,Riots/Protests,60,0,31.3190,48.6842,Khuzestan,IRN
364,"Protesters (Iran)",,2018-10-06,Riots/Protests,60,0,30.6682,51.5880,"Kohgiluyeh and Buyer Ahmad",IRN
364,"Protesters (Iran)",,2018-10-06,Riots/Protests,60,0,30.6492,48.6650,Khuzestan,IRN
364,"Protesters (Iran)",,2018-10-06,Riots/Protests,60,0,36.5449,61.1577,"Razavi Khorasan",IRN
364,"Protesters (Iran)",,2018-10-05,Riots/Protests,60,0,29.6195,51.6542,Fars,IRN
364,"Protesters (Iran)",,2018-10-05,Riots/Protests,60,0,35.7512,51.3616,Tehran,IRN
364,"Protesters (Iran)",,2018-10-03,Riots/Protests,60,0,35.8327,50.9916,Alborz,IRN
364,"Protesters (Iran)",,2018-10-03,Riots/Protests,60,0,34.0917,49.6892,Markazi,IRN
